Table Name,set_time_ref,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Description,Set the specified time reference index to the BFN time at message reception.  The index can be used for subsequent relative messaging.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single entry bitwidth,32 * 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base type bit layout,,,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
Bit Field Name,,,RES0,,,,,,,,,,REF_INDEX,,,,TIMING,,OPCODE,,,,,,,,,,,,,,,
Bit Field Description,,,reserved,,,,,,,,,,This reference index is updated to refer to the current BFN time. The timing information corresponding to this index will be used to calculate the relative offset in messages using relative timing mode.   The Timestamp specified in this message is ignored.,,,,unused,,opcode,,,,,,,,,,,,,,,
Unit [string],,,value,,,,,,,,,,value,,,,value,,value,,,,,,,,,,,,,,,
Granularity,,,0,,,,,,,,,,0,,,,0,,1,,,,,,,,,,,,,,,
Minimum Value,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Maximum Value,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Sign Type,,,unsigned,,,,,,,,,,unsigned,,,,e_timing_type_t,,e_opcode_type_t,,,,,,,,,,,,,,,
Bit Field Width,,,10,,,,,,,,,,4,,,,2,,16,,,,,,,,,,,,,,,
Bit Field Name,,,timestamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bit Field Description,,,unused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit [string],,,983 Mhz clock tick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Granularity,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sign Type,,,unsigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bit Field Width,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
