Table Name,ax_jesd_comp_param_lut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Description,JESD compression parameters and register settings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single entry bitwidth,32*35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base type bit layout,,,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
Bit Field Name,,,EXPONENT_METHOD,AGC_BIT,SIGNED_FORMAT,INPUT_IQ_FORMAT,JESD_FORMAT,EXPONENT_WIDTH,,,SIGNIFICAND_WIDTH,,,,COMP_TOP_REG,,,,,,,,,,,,,,,,,,,
Bit Field Description,,,"Exponent Method (0=Common, 1=Individual)","AGC bit (0=NO, 1=YES)","signed_format (0=TC, 1=SM)","Input Format (0=sc16.15, 1 = sc32.15)","JESD format total bits(0=24, 1=32)",Expondent Width,,,Significant width,,,,Defines the different modes of operation of compression modes,,,,,,,,,,,,,,,,,,,
Unit [string],,,bits,bits,bits,bits,bits,bits,,,bits,,,,bits,,,,,,,,,,,,,,,,,,,
Granularity,,,1,1,1,1,1,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,
Minimum Value,,,0,0,0,0,0,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,
Maximum Value,,,1,1,1,1,1,5,,,14,,,,0xfffff,,,,,,,,,,,,,,,,,,,
Sign Type,,,unsigned,unsigned,unsigned,unsigned,unsigned,unsigned,,,unsigned,,,,unsigned,,,,,,,,,,,,,,,,,,,
Bit Field Width,,,1,1,1,1,1,3,,,4,,,,20,,,,,,,,,,,,,,,,,,,
Bit Field Name,,,COMP_VMLGA_REG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bit Field Description,,,Configuration input to VMLGA module of compression block ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit [string],,,bits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Granularity,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Value,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum Value,,,0xffffff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sign Type,,,unsigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bit Field Width,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bit Field Name,,,COMP_VNSH_REG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
