Table Name,ax_jesd_input_param_lut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Description,Input parameter types required to configure JESD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single entry bitwidth,32*1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base type bit layout,,,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
Bit Field Name,,,res_31_10,,,,,,,,,,,,,,,,,,,,,,JESD_RX_START_TYPE,JESD_TX_START_TYPE,DECOMPRESSION_TYPE,,COMPRESSION_TYPE,,,,SYSREF_RATE,
Bit Field Description,,,reserved,,,,,,,,,,,,,,,,,,,,,,"Select JESD RX startup method (0=First Valid Smpl, 1=SW triggered)","Select JESD TX startup method (0=ANTENNARX_START , 1=BFN)",RX data decompression type,,TX data compression type,,,,SYSREF clk rate,
Unit [string],,,bits,,,,,,,,,,,,,,,,,,,,,,bits,bits,bits,,bits,,,,bits,
Granularity,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,,,,1,
Minimum Value,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,,,0,
Maximum Value,,,0,,,,,,,,,,,,,,,,,,,,,,1,1,3,,15,,,,3,
Sign Type,,,unsigned,,,,,,,,,,,,,,,,,,,,,,unsigned,unsigned,unsigned,,unsigned,,,,e_jesd_sysref_clk_t,
Bit Field Width,,,22,,,,,,,,,,,,,,,,,,,,,,1,1,2,,4,,,,2,
subtable dimension and name,1*1,,ax_jesd_input_param_lut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,,,0,
