Table Name,com_drf_rate_conf_lut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Description,"supported sample rate, PLL clock and operation clock combination, this table is indexed by [drf_rate] (need 8-bit). Bit fields stage_active specifies filter setting when in manual mode; for auto mode, only sys_rate and ant_rate are needed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single entry bitwidth,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base type bit layout,,,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,,,,,,,,,,,,,,,,
Bit Field Name,,,res_31_27,,,,,smpl_per_clk,,,,stage_active,,,,,,,,,,,smpl_fmt,sys_rate,,,,,ant_rate,,,pll_clk,,f_clk,,,,,,,,,,,,,,,,
Bit Field Description,,,reserved,,,,,"num of samples per clock, based on ant_rate",,,,"each of these 11 bits indicating corresponding filter (from low to high: TBF1, TBF1I/D, TBF2, TBF2I/D, HBF1, FBF1, HBF2, HBF3, HBF4, HBF5 and HBF6) is active or not",,,,,,,,,,,"data use IQ format or Real at sample I/F. 0: IQ, 1: Real","supoorted DRF input rate in MSPS, 0:245.76, 1:368.64, 2: 491.52, 3:737.28, 4:983.04, 5:1474.56, 6:1966.08, 7:2949.12, 8:3932.16, 9:5898.24, 10:7864.32, 11:11796.48",,,,,"supported DRF output rate, 0:3s/clk, 1:4s/clk, 2:6s/clk, 3:8s/clk, 4:12s/clk, 5:16s/clk",,,"PLL clock, 0: 15.72864GHz, 1: 17.69472GHz, 2: 23.59296GHz",,"operation clock, 0:983.04MHz, 1: 1474.56MHz. VHA/V2D/DRF should have same operation clock",,,,,,,,,,,,,,,,
Unit [string],,,value,,,,,value,,,,bits,,,,,,,,,,,bit,value,,,,,value,,,value,,bit,,,,,,,,,,,,,,,,
Granularity,,,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,1,,1,,,,,,,,,,,,,,,,
Minimum Value,,,0,,,,,3,,,,0,,,,,,,,,,,0,0,,,,,0,,,0,,0,,,,,,,,,,,,,,,,
Maximum Value,,,32,,,,,16,,,,,,,,,,,,,,,1,28,,,,,5,,,2,,1,,,,,,,,,,,,,,,,
Sign Type,,,unsigned,,,,,unsigned,,,,unsigned,,,,,,,,,,,e_smpl_fmt_t,e_sys_rate_t,,,,,e_ant_rate_t,,,e_pll_clk_t,,e_sys_clk_t,,,,,,"H14=IF(AD14=0,3,IF(AD14=1,4,IF(AD14=2,6,IF(AD14=3,8,IF(AD14=4,12,16)))))",,,,,,,,,,
Bit Field Width,,,5,,,,,4,,,,11,,,,,,,,,,,1,5,,,,,3,,,2,,1,,,,,,"L14=SUM(BITLSHIFT(AO14,10),BITLSHIFT(AP14,9), BITLSHIFT(AQ14, 8),BITLSHIFT(AR14,7),BITLSHIFT(AS14,6), BITLSHIFT(AT14, 5),BITLSHIFT(AU14,4), BITLSHIFT(AV14, 3),BITLSHIFT(AW14,2),BITLSHIFT(AX14,1), BITLSHIFT(AY14, 0))",,,,,,,,,,
subtable dimension and name,129*1,,DRF_RATE_CONF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ant_rate, pll_chk, f_clk combined value",,,DAC/ADC RATE,,hbf6,hbf5,hbf4,hbf3,hbf2,fbf1,hbf1,tbf2d,tbf2,tbf1d,tbf1
