Table Name,com_v2d_strm_buf_lut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Description,specifying watermark and stream count based on VEX process block size and sample rate. Watermark is used for releasing data from V2D buffer while stream count is used by CM for when to release data out from CM. this table is accessed as table[e_blk_sz_t][sys_rate equavalent],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single entry bitwidth,32*1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base type bit layout,,,31,30,29,28,24,24,24,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,,,
Bit Field Name,,,res_31_22,,,,,,,,,,wm,,,,,,,,,,,,strm_cnt,,,,,,,,,,,,
Bit Field Description,,,reserved,,,,,,,,,,"watermark for when to release data from V2D buffer (A/C, B), current use %50 of VEX process block",,,,,,,,,,,,This value is used to read data flits out of Tx Buffer in CM. It supports up to 1k 512-bit data flits. 0 means 1 flit,,,,,,,,,,,,
Unit [string],,,value,,,,,,,,,,flit,,,,,,,,,,,,flit,,,,,,,,,,,,
Granularity,,,1,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,
Minimum Value,,,0,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,
Maximum Value,,,1023,,,,,,,,,,4095,,,,,,,,,,,,1023,,,,,,,,,,,,
Sign Type,,,unsigned,,,,,,,,,,unsigned,,,,,,,,,,,,unsigned,,,,,,,,,,,,
Bit Field Width,,,10,,,,,,,,,,12,,,,,,,,,,,,10,,,,,,,,,,,,
subtable dimension and name,12*1,,VEX_BLK_SZ_P5US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e_sys_rate_t,
,,,0,,,,,,,,,,4,,,,,,,,,,,,7,,,,,,,,,,,0,245M
,,,0,,,,,,,,,,6,,,,,,,,,,,,11,,,,,,,,,,,1,368M
,,,0,,,,,,,,,,8,,,,,,,,,,,,15,,,,,,,,,,,2,491M
,,,0,,,,,,,,,,12,,,,,,,,,,,,23,,,,,,,,,,,3,737M
,,,0,,,,,,,,,,16,,,,,,,,,,,,31,,,,,,,,,,,4,983M
,,,0,,,,,,,,,,24,,,,,,,,,,,,47,,,,,,,,,,,5,1.474G
,,,0,,,,,,,,,,32,,,,,,,,,,,,63,,,,,,,,,,,6,1.966G
,,,0,,,,,,,,,,48,,,,,,,,,,,,95,,,,,,,,,,,7,2.949G
,,,0,,,,,,,,,,64,,,,,,,,,,,,127,,,,,,,,,,,8,3.932G
,,,0,,,,,,,,,,96,,,,,,,,,,,,191,,,,,,,,,,,9,5.898G
,,,0,,,,,,,,,,128,,,,,,,,,,,,255,,,,,,,,,,,10,7.864G
,,,0,,,,,,,,,,192,,,,,,,,,,,,383,,,,,,,,,,,11,11.796G
,12*1,,VEX_BLK_SZ_1US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0,,,,,,,,,,8,,,,,,,,,,,,15,,,,,,,,,,,0,245M
,,,0,,,,,,,,,,12,,,,,,,,,,,,23,,,,,,,,,,,1,368M
,,,0,,,,,,,,,,16,,,,,,,,,,,,31,,,,,,,,,,,2,491M
,,,0,,,,,,,,,,24,,,,,,,,,,,,47,,,,,,,,,,,3,737M
,,,0,,,,,,,,,,32,,,,,,,,,,,,63,,,,,,,,,,,4,983M
,,,0,,,,,,,,,,48,,,,,,,,,,,,95,,,,,,,,,,,5,1.474G
,,,0,,,,,,,,,,64,,,,,,,,,,,,127,,,,,,,,,,,6,1.966G
,,,0,,,,,,,,,,96,,,,,,,,,,,,191,,,,,,,,,,,7,2.949G
,,,0,,,,,,,,,,128,,,,,,,,,,,,255,,,,,,,,,,,8,3.932G
,,,0,,,,,,,,,,192,,,,,,,,,,,,383,,,,,,,,,,,9,5.898G
,,,0,,,,,,,,,,256,,,,,,,,,,,,511,,,,,,,,,,,10,7.864G
,,,0,,,,,,,,,,384,,,,,,,,,,,,767,,,,,,,,,,,11,11.796G
