Table Name,com_vex_hostid_lut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Description,"VEX host id LUT, indexed by group id (0 to 7, ie, TRX_GRP_IDX(ant_idx)); this table assumes that 2x2 VEX cores connected to the same SW plus one VEX from the middle column connected to the SW could be assigned to one V2D block. indexing of this table needs 3-bit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single entry bitwidth,32*1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base type bit layout,,,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
Bit Field Name,,,res_31_26,,,,,,v4,,,,,,v3,,,,,v2,,,,,v1,,,,,v0,,,,
Bit Field Description,,,reserved,,,,,,the middle VEX host id,,,,,,the south_west VEX core host id,,,,,the north_west VEX core host id,,,,,the south_east VEX core host id,,,,,the north_east VEX core host id,,,,
Unit [string],,,value,,,,,,value,,,,,,value,,,,,value,,,,,value,,,,,value,,,,
Granularity,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Value,,,0,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum Value,,,63,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,
Sign Type,,,unsigned,,,,,,unsigned,,,,,,unsigned,,,,,unsigned,,,,,unsigned,,,,,unsigned,,,,
Bit Field Width,,,6,,,,,,6,,,,,,5,,,,,5,,,,,5,,,,,5,,,,
subtable dimension and name,8*1,,VEX_HOSTID_LUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0,,,,,,32,,,,,,9,,,,,8,,,,,1,,,,,0,,,,
,,,0,,,,,,34,,,,,,11,,,,,10,,,,,3,,,,,2,,,,
,,,0,,,,,,36,,,,,,13,,,,,12,,,,,5,,,,,4,,,,
,,,0,,,,,,38,,,,,,15,,,,,14,,,,,7,,,,,6,,,,
,,,0,,,,,,33,,,,,,25,,,,,24,,,,,17,,,,,16,,,,
,,,0,,,,,,35,,,,,,27,,,,,26,,,,,19,,,,,18,,,,
,,,0,,,,,,37,,,,,,29,,,,,28,,,,,21,,,,,20,,,,
,,,0,,,,,,39,,,,,,31,,,,,30,,,,,23,,,,,22,,,,
