Table Name,com_vha_hostid_lut,,,,,,,,,,,,,,,,,
Table Description,"VHA host id LUT, indexed by group id (0 to 7, ie, TRX_GRP_IDX(ant_idx)); indexing of this table needs 3-bit",,,,,,,,,,,,,,,,,
single entry bitwidth,16*1,,,,,,,,,,,,,,,,,
base type bit layout,,,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
Bit Field Name,,,res_15_14,,port1,,,,,,,port0,,,,,,
Bit Field Description,,,reserved,,Host id for VHA port 1,,,,,,,Host id for VHA port 0,,,,,,
Unit [string],,,value,,value,,,,,,,value,,,,,,
Granularity,,,1,,6,,,,,,,6,,,,,,
Minimum Value,,,0,,69,,,,,,,68,,,,,,
Maximum Value,,,3,,111,,,,,,,110,,,,,,
Sign Type,,,unsigned,,unsigned,,,,,,,unsigned,,,,,,
Bit Field Width,,,2,,7,,,,,,,7,,,,,,
subtable dimension and name,8*1,,VHA_HOSTID_LUT,,,,,,,,,,,,,,,
,,,0,,69,,,,,,,68,,,,,,
,,,0,,75,,,,,,,74,,,,,,
,,,0,,81,,,,,,,80,,,,,,
,,,0,,87,,,,,,,86,,,,,,
,,,0,,93,,,,,,,92,,,,,,
,,,0,,99,,,,,,,98,,,,,,
,,,0,,105,,,,,,,104,,,,,,
,,,0,,111,,,,,,,110,,,,,,
