Table Name,rx_vha_if_wm_lut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Description,VHA UL input FIFO watermark setting table.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single entry bitwidth,32*1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base type bit layout,,,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,,,
Bit Field Name,,,res_31_18,,,,,,,,,,,,,,if_wm_p5_us,,,,,,,,,if_wm_1_us,,,,,,,,,,,
Bit Field Description,,,reserved,,,,,,,,,,,,,,VHA UL input FIFO watermark for 0.52us,,,,,,,,,VHA UL input FIFO watermark for 1.04us,,,,,,,,,,,
Unit [string],,,bit,,,,,,,,,,,,,,flit,,,,,,,,,flit,,,,,,,,,,,
Granularity,,,1,,,,,,,,,,,,,,2*,,,,,,,,,2*,,,,,,,,,,,
Minimum Value,,,0,,,,,,,,,,,,,,16,,,,,,,,,32,,,,,,,,,,,
Maximum Value,,,1,,,,,,,,,,,,,,192,,,,,,,,,384,,,,,,,,,,,
Sign Type,,,unsigned,,,,,,,,,,,,,,unsigned,,,,,,,,,unsigned,,,,,,,,,,,
Bit Field Width,,,14,,,,,,,,,,,,,,9,,,,,,,,,9,,,,,,,,,,,
subtable dimension and name,4*1,,RX_VHA_IF_WM_F_983Mhz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f_clk,input_rate,e_vha_rate_t
,,,0,,,,,,,,,,,,,,16,,,,,,,,,32,,,,,,,,,e_CLK_983M,491.52,e_VHA_RATE_P5
,,,0,,,,,,,,,,,,,,32,,,,,,,,,64,,,,,,,,,e_CLK_983M,983.04,e_VHA_RATE_1
,,,0,,,,,,,,,,,,,,64,,,,,,,,,128,,,,,,,,,e_CLK_983M,1966.08,e_VHA_RATE_2
,,,0,,,,,,,,,,,,,,128,,,,,,,,,256,,,,,,,,,e_CLK_983M,3932.16,e_VHA_RATE_4
subtable dimension and name,4*1,,RX_VHA_IF_WM_F_1474Mhz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0,,,,,,,,,,,,,,24,,,,,,,,,48,,,,,,,,,e_CLK_1474M,737.28,e_VHA_RATE_P5
,,,0,,,,,,,,,,,,,,48,,,,,,,,,96,,,,,,,,,e_CLK_1474M,1474.56,e_VHA_RATE_1
,,,0,,,,,,,,,,,,,,96,,,,,,,,,192,,,,,,,,,e_CLK_1474M,2949.12,e_VHA_RATE_2
,,,0,,,,,,,,,,,,,,192,,,,,,,,,384,,,,,,,,,e_CLK_1474M,5898.24,e_VHA_RATE_4
