Table Name,tx_dac_conf_lut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Description,"Configuration Table Based on DAC Rates.
This table indexed by dac config index (need 4-bit)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single entry bitwidth,32*1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base type bit layout,,,31,30,29,28,24,24,24,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,,,,
Bit Field Name,,,res_31_17,,,,,,,,,,,,,,,ser_bypass4to2,ser_bypass_s16to4,serlo_prog,,dis_serlo,serhi_prog,,dis_serhi,rf_prog,,dis_rf,div6,mode3q,clkmux_div,num_phases,,,,,,
Bit Field Description,,,reserved,,,,,,,,,,,,,,,bypass the low-rate serializer,bypass base rate serializer,chooses the low-rate serializer output of the divider,,disable the divided output to the low-rate serializer,chooses the high-rate serializer output of the divider,,disable the divided output to the high-rate serializer,chooses the divider output to the clock multiplexer. Value 3 means don't care (X),,disable divided RF output to the clock multiplexer. Save power when the RF clock is directly used,clock divider divide by six mode,clock divider three quarter mode,enable TX clock multiplexer divided path(e.g. for 8G mode),"set the num of active encoder phases (0x0=16; 0x1=12, 0x2=8, 0x3=6, 0x4=4, 0x6=2)",,,,,,
Unit [string],,,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Granularity,,,1,,,,,,,,,,,,,,,,,1,,1,1,,1,1,,1,1,1,,,,,,,,
Minimum Value,,,0,,,,,,,,,,,,,,,0,0,1,,0,0,,0,0,,0,0,0,,0,,,,,,
Maximum Value,,,32767,,,,,,,,,,,,,,,1,1,2,,1,2,,1,3,,1,1,1,,6,,,,,,
Sign Type,,,unsigned,,,,,,,,,,,,,,,unsigned,unsigned,unsigned,,unsigned,unsigned,,unsigned,unsigned,,unsigned,unsigned,unsigned,unsigned,unsigned,,,,,,
Bit Field Width,,,15,,,,,,,,,,,,,,,1,1,2,,1,2,,1,2,,1,1,1,1,3,,,,,,
subtable dimension and name,12*1,,DAC_CONF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dac_rate,pll_clk,f_clk
0,,,0,,,,,,,,,,,,,,,0,0,1,,0,0,,0,3,,1,0,0,0,0,,,,5,0,0
1,,,0,,,,,,,,,,,,,,,1,0,1,,0,1,,0,0,,0,0,0,1,2,,,,3,0,0
2,,,0,,,,,,,,,,,,,,,1,0,2,,0,2,,0,1,,0,0,0,1,4,,,,1,0,0
3,,,0,,,,,,,,,,,,,,,0,0,2,,0,1,,0,0,,0,1,0,0,1,,,,4,2,0
4,,,0,,,,,,,,,,,,,,,1,0,2,,0,2,,0,1,,0,1,0,1,3,,,,2,2,0
5,,,0,,,,,,,,,,,,,,,1,0,2,,0,2,,0,1,,0,1,0,1,5,,,,0,2,0
6,,,0,,,,,,,,,,,,,,,0,0,1,,0,0,,0,3,,1,0,0,0,0,,,,5,2,1
7,,,0,,,,,,,,,,,,,,,1,0,1,,0,1,,0,0,,0,0,0,1,2,,,,3,2,1
8,,,0,,,,,,,,,,,,,,,1,0,2,,0,2,,0,1,,0,0,0,1,4,,,,1,2,1
9,,,0,,,,,,,,,,,,,,,0,0,1,,0,0,,0,3,,1,1,1,0,1,,,,4,1,1
10,,,0,,,,,,,,,,,,,,,1,0,1,,0,1,,0,0,,0,1,1,1,3,,,,2,1,1
11,,,0,,,,,,,,,,,,,,,1,0,1,,0,1,,0,1,,0,1,1,1,5,,,,0,1,1
