Table Name,cal_config,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Description,message for calibration configuration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single entry bitwidth,32 * 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base type bit layout,,,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
Bit Field Name,,,RES0,,,,,,,,,,REF_INDEX,,,,TIMING,,OPCODE,,,,,,,,,,,,,,,
Bit Field Description,,,reserved,,,,,,,,,,Timing reference the relative timing mode uses. Makes use of the time reference message. Time on the reference message forms the base time for relative timing mode.See Set ref message for more info.,,,,selects the timing mode absolute/relative/immediate.Absolute runs at the specified BFN. Relative - Timestamp is relative to time reference. Immediate ignores timing and executes ASAP,,opcode,,,,,,,,,,,,,,,
Unit [string],,,value,,,,,,,,,,value,,,,value,,value,,,,,,,,,,,,,,,
Granularity,,,0,,,,,,,,,,0,,,,0,,1,,,,,,,,,,,,,,,
Minimum Value,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Maximum Value,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Sign Type,,,unsigned,,,,,,,,,,unsigned,,,,e_timing_type_t,,e_opcode_type_t,,,,,,,,,,,,,,,
Bit Field Width,,,10,,,,,,,,,,4,,,,2,,16,,,,,,,,,,,,,,,
Bit Field Name,,,timestamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bit Field Description,,,"BFN OTA time.In absolute mode, the timestamp is the network time for the event.In relative mode , this field denotes the delta from set reference message.Immediate ignores the field",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit [string],,,983 Mhz clock tick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Granularity,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sign Type,,,unsigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bit Field Width,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bit Field Name,,,RES4,,QUAD_MASK_SMC_DAC,,,,SMC_DAC_EX,SMC_DAC_EN,RES3,,QUAD_MASK_XT_OADC,,,,XT_OADC_EX,XT_OADC_EN,RES2,,QUAD_MASK_CS_OADC,,,,CS_OADC_EX,CS_OADC_EN,RES1,,QUAD_MASK_SC_ADC,,,,SC_ADC_EX,SC_ADC_EN
Bit Field Description,,,Reserved,,Antenna Mask for DAC SMC calibration,,,,execute now,calibration enabled,Reserved,,Antenna Mask for cross talk observation ADC calibration,,,,execute now,calibration enabled,Reserved,,Antenna Mask for clock skew observation ADC calibration,,,,execute now,calibration enabled,Reserved,,Antenna Mask for Slice calibration,,,,execute now,calibration enabled
Unit [string],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Granularity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sign Type,,,unsigned,,unsigned,,,,unsigned,unsigned,unsigned,,unsigned,,,,unsigned,unsigned,unsigned,,unsigned,,,,unsigned,unsigned,unsigned,,unsigned,,,,unsigned,unsigned
Bit Field Width,,,2,,4,,,,1,1,2,,4,,,,1,1,2,,4,,,,1,1,2,,4,,,,1,1
Bit Field Name,,,RES8,,QUAD_MASK_DPD_DAC,,,,DPD_DAC_EX,DPD_DAC_EN,RES7,,QUAD_MASK_NLEQ_ADC,,,,NLEQ_ADC_EX,NLEQ_ADC_EN,RES6,,QUAD_MASK_DSKW_CALDAC,,,,DSKW_CALDAC_EX,DSKW_CALDAC_EN,RES5,,QUAD_MASK_SMC_CALDAC,,,,SMC_CALDAC_EX,SMC_CALDAC_EN
Bit Field Description,,,Reserved,,Antenna Mask for CDAC DPD calibration,,,,execute now,calibration enabled,Reserved,,Antenna Mask for NLEQ calibration,,,,execute now,calibration enabled,Reserved,,Antenna Mask for CALDAC deskew calibration,,,,execute now,calibration enabled,Reserved,,Antenna Mask for CALDAC SMC Calibration,,,,execute now,calibration enabled
Unit [string],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Granularity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sign Type,,,unsigned,,unsigned,,,,unsigned,unsigned,unsigned,,unsigned,,,,unsigned,unsigned,unsigned,,unsigned,,,,unsigned,unsigned,unsigned,,unsigned,,,,unsigned,unsigned
Bit Field Width,,,2,,4,,,,1,1,2,,4,,,,1,1,2,,4,,,,1,1,2,,4,,,,1,1
