Table Name,ul_config_ant_grp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Description,message for ul configuration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single entry bitwidth,32 * 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base type bit layout,,,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
Bit Field Name,,,RES0,,,,,,,,,,REF_INDEX,,,,TIMING,,OPCODE,,,,,,,,,,,,,,,
Bit Field Description,,,reserved,,,,,,,,,,Timing reference the relative timing mode uses. Makes use of the time reference message. Time on the reference message forms the base time for relative timing mode.See Set ref message for more info.,,,,selects the timing mode absolute/relative/immediate.Absolute runs at the specified BFN. Relative - Timestamp is relative to time reference. Immediate ignores timing and executes ASAP,,opcode,,,,,,,,,,,,,,,
Unit [string],,,value,,,,,,,,,,value,,,,value,,value,,,,,,,,,,,,,,,
Granularity,,,0,,,,,,,,,,0,,,,0,,1,,,,,,,,,,,,,,,
Minimum Value,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Maximum Value,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Sign Type,,,unsigned,,,,,,,,,,unsigned,,,,e_timing_type_t,,e_opcode_type_t,,,,,,,,,,,,,,,
Bit Field Width,,,10,,,,,,,,,,4,,,,2,,16,,,,,,,,,,,,,,,
Bit Field Name,,,timestamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bit Field Description,,,"BFN OTA time.In absolute mode, the timestamp is the network time for the event.In relative mode , this field denotes the delta from set reference message.Immediate ignores the field",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit [string],,,983 Mhz clock tick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Granularity,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sign Type,,,unsigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bit Field Width,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bit Field Name,,,DIGRF_ADC_IDX,,,,,,,,DIGRF_MIXER_FREQ,,,,,,,,,,,,,,,,,,,,,,,
Bit Field Description,,,ADC index- combination of DIGRF output rate and ADC rate,,,,,,,,RF mixing frequency,,,,,,,,,,,,,,,,,,,,,,,
Unit [string],,,,,,,,,,,Hz,,,,,,,,,,,,,,,,,,,,,,,
Granularity,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,
Minimum Value,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Maximum Value,,,,,,,,,,,16777215,,,,,,,,,,,,,,,,,,,,,,,
Sign Type,,,unsigned,,,,,,,,unsigned,,,,,,,,,,,,,,,,,,,,,,,
Bit Field Width,,,8,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,
Bit Field Name,,,RES1,,,,,,,,,,,,,,,HW_TDD,ANT_GROUP_UL_ANT_MASK,,,,,,,,,,,,,,,
Bit Field Description,,,reserved,,,,,,,,,,,,,,,Select HW/ SW TDD,the mask reflects the antennas enabled,,,,,,,,,,,,,,,
Unit [string],,,,,,,,,,,,,,,,,,value,value,,,,,,,,,,,,,,,
Granularity,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Minimum Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sign Type,,,unsigned,,,,,,,,,,,,,,,unsigned,unsigned,,,,,,,,,,,,,,,
Bit Field Width,,,15,,,,,,,,,,,,,,,1,16,,,,,,,,,,,,,,,
Bit Field Name,,,DRF_LATENCY,,,,,,,,,,,,,,,,RES2,,Q3_J,,Q2_J,,Q1_J,,Q0_J,,JESD_UL_IDX,,,,,
Bit Field Description,,,digrf latency in ns from antenna to digrf,,,,,,,,,,,,,,,,reserved,,Jesd link used to sink data for quad 3,,Jesd link used to sink data for quad 2,,Jesd link used to sink data for quad 1,,Jesd link used to sink data for quad 0,,index into JESD config table,,,,,
Unit [string],,,ns,,,,,,,,,,,,,,,,value,,value,,value,,value,,value,,,,,,,
Granularity,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Minimum Value,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Maximum Value,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Sign Type,,,unsigned,,,,,,,,,,,,,,,,unsigned,,unsigned,,unsigned,,unsigned,,unsigned,,unsigned,,,,,
Bit Field Width,,,16,,,,,,,,,,,,,,,,2,,2,,2,,2,,2,,6,,,,,
Bit Field Name,,,RES3,,,,,,,,,,,,VHA_UL_FILTER_MODE,,,,VHA_UL_LATENCY,,,,,,,,,,,,,,,
Bit Field Description,,,reserved,,,,,,,,,,,,"specifies the filter mode enabled in HW accelerator, 0-auto",,,,Latency in ns from antenna to input of VHA,,,,,,,,,,,,,,,
Unit [string],,,,,,,,,,,,,,,,,,,ns,,,,,,,,,,,,,,,
Granularity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sign Type,,,unsigned,,,,,,,,,,,,unsigned,,,,unsigned,,,,,,,,,,,,,,,
Bit Field Width,,,12,,,,,,,,,,,,4,,,,16,,,,,,,,,,,,,,,
Bit Field Name,,,RES4,,,,,,,,ANT_GROUP_UL_BAND_FREQ0,,,,,,,,,,,,,,,,,,,,,,,
Bit Field Description,,,reserved,,,,,,,,Center channel frequency for band 0 during band combining(VHA),,,,,,,,,,,,,,,,,,,,,,,
Unit [string],,,value,,,,,,,,Hz,,,,,,,,,,,,,,,,,,,,,,,
Granularity,,,0,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,
Minimum Value,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Maximum Value,,,0,,,,,,,,16777215,,,,,,,,,,,,,,,,,,,,,,,
Sign Type,,,unsigned,,,,,,,,unsigned,,,,,,,,,,,,,,,,,,,,,,,
Bit Field Width,,,8,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,
Bit Field Name,,,RES5,,,,,,,,ANT_GROUP_UL_BAND_FREQ1,,,,,,,,,,,,,,,,,,,,,,,
Bit Field Description,,,reserved,,,,,,,,Center channel frequency for band 1 during band combining(VHA),,,,,,,,,,,,,,,,,,,,,,,
Unit [string],,,value,,,,,,,,Hz,,,,,,,,,,,,,,,,,,,,,,,
Granularity,,,0,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,
Minimum Value,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Maximum Value,,,0,,,,,,,,16777215,,,,,,,,,,,,,,,,,,,,,,,
Sign Type,,,unsigned,,,,,,,,unsigned,,,,,,,,,,,,,,,,,,,,,,,
Bit Field Width,,,8,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,
