Table Name,dl_config_ant_grp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Description,message for DL configuration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single entry bitwidth,32 * 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base type bit layout,,,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
Bit Field Name,,,RES0,,,,,,,,,,REF_INDEX,,,,TIMING,,OPCODE,,,,,,,,,,,,,,,
Bit Field Description,,,reserved,,,,,,,,,,Timing reference the relative timing mode uses. Makes use of the time reference message. Time on the reference message forms the base time for relative timing mode.See Set ref message for more info.,,,,selects the timing mode absolute/relative/immediate.Absolute runs at the specified BFN. Relative - Timestamp is relative to time reference. Immediate ignores timing and executes ASAP,,opcode,,,,,,,,,,,,,,,
Unit [string],,,value,,,,,,,,,,value,,,,value,,value,,,,,,,,,,,,,,,
Granularity,,,0,,,,,,,,,,0,,,,0,,1,,,,,,,,,,,,,,,
Minimum Value,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Maximum Value,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Sign Type,,,unsigned,,,,,,,,,,unsigned,,,,e_timing_type_t,,e_opcode_type_t,,,,,,,,,,,,,,,
Bit Field Width,,,10,,,,,,,,,,4,,,,2,,16,,,,,,,,,,,,,,,
Bit Field Name,,,timestamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bit Field Description,,,"BFN OTA time.In absolute mode, the timestamp is the network time for the event.In relative mode , this field denotes the delta from set reference message.Immediate ignores the field",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit [string],,,983 Mhz clock tick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Granularity,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sign Type,,,unsigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bit Field Width,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bit Field Name,,,DIGRF_DAC_IDX,,,,,,,,DIGRF_MIXER_FREQ,,,,,,,,,,,,,,,,,,,,,,,
Bit Field Description,,,DAC index- combination of DIGRF input rate and DAC rate,,,,,,,,RF mixing frequency,,,,,,,,,,,,,,,,,,,,,,,
Unit [string],,,,,,,,,,,Hz,,,,,,,,,,,,,,,,,,,,,,,
Granularity,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,
Minimum Value,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Maximum Value,,,,,,,,,,,16777215,,,,,,,,,,,,,,,,,,,,,,,
Sign Type,,,unsigned,,,,,,,,unsigned,,,,,,,,,,,,,,,,,,,,,,,
Bit Field Width,,,8,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,
Bit Field Name,,,DRF_DPD_LEARN,DRF_DPD_SPLIT,,,DRF_DPD_MODE,,,,RES1,,,,,,,HW_TDD,ANT_GROUP_DL_ANT_MASK,,,,,,,,,,,,,,,
Bit Field Description,,,Modes for DPD learning -Direct mode/Indirect Mode,DPD buffer size selection,,,selects the active DPD paths enabled in DPD accelerator,,,,reserved,,,,,,,Select HW/ SW TDD,the mask reflects the antennas enabled,,,,,,,,,,,,,,,
Unit [string],,,,,,,,,,,,,,,,,,value,,,,,,,,,,,,,,,,
Granularity,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Minimum Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sign Type,,,e_dpd_learn_t,unsigned,,,e_dpd_mode_t,,,,unsigned,,,,,,,unsigned,unsigned,,,,,,,,,,,,,,,
Bit Field Width,,,1,3,,,4,,,,7,,,,,,,1,16,,,,,,,,,,,,,,,
Bit Field Name,,,JESD_LATENCY,,,,,,,,,,,,,,,,RES2,,Q3_J,,Q2_J,,Q1_J,,Q0_J,,JESD_DL_IDX,,,,,
Bit Field Description,,,jesd latency in ns from JESD to antenna,,,,,,,,,,,,,,,,reserved,,indicates which JESD link is used to source data for quad 3,,indicates which JESD link is used to source data for quad 2,,indicates which JESD link is used to source data for quad 1,,indicates which JESD link is used to source data for quad 0,,index into JESD config table,,,,,
Unit [string],,,ns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Granularity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sign Type,,,unsigned,,,,,,,,,,,,,,,,unsigned,,unsigned,,unsigned,,unsigned,,unsigned,,unsigned,,,,,
Bit Field Width,,,16,,,,,,,,,,,,,,,,2,,2,,2,,2,,2,,6,,,,,
Bit Field Name,,,RES3,,,,,,,,,,,,,,,,,,,,FBR_IDX,,,,,,,,FBR_MASK,,,
Bit Field Description,,,reserved,,,,,,,,,,,,,,,,,,,,Index into the FBR configuration table,,,,,,,,indicates the FBRs used for the band config,,,
Unit [string],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Granularity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sign Type,,,unsigned,,,,,,,,,,,,,,,,,,,,unsigned,,,,,,,,unsigned,,,
Bit Field Width,,,20,,,,,,,,,,,,,,,,,,,,8,,,,,,,,4,,,
Bit Field Name,,,RES4,,,,,,,,,,,VHA_DL_XN_EN,VHA_DL_FILTER_MODE,,,,VHA_DL_LATENCY,,,,,,,,,,,,,,,
Bit Field Description,,,reserved,,,,,,,,,,,Enable X/duplicate data path for DPD learning,"specifies the filter mode enabled in HW accelerator, 0-auto",,,,Latency in ns from output of VHA to antenna,,,,,,,,,,,,,,,
Unit [string],,,,,,,,,,,,,,,,,,,ns,,,,,,,,,,,,,,,
Granularity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sign Type,,,unsigned,,,,,,,,,,,unsigned,unsigned,,,,unsigned,,,,,,,,,,,,,,,
Bit Field Width,,,11,,,,,,,,,,,1,4,,,,16,,,,,,,,,,,,,,,
Bit Field Name,,,RES5,,,,,,,,ANT_GROUP_DL_BAND_FREQ0,,,,,,,,,,,,,,,,,,,,,,,
Bit Field Description,,,reserved,,,,,,,,Center channel frequency for band 0 during band combining(VHA),,,,,,,,,,,,,,,,,,,,,,,
Unit [string],,,,,,,,,,,Hz,,,,,,,,,,,,,,,,,,,,,,,
Granularity,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,
Minimum Value,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Maximum Value,,,,,,,,,,,16777215,,,,,,,,,,,,,,,,,,,,,,,
Sign Type,,,unsigned,,,,,,,,unsigned,,,,,,,,,,,,,,,,,,,,,,,
Bit Field Width,,,8,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,
Bit Field Name,,,RES6,,,,,,,,ANT_GROUP_DL_BAND_FREQ1,,,,,,,,,,,,,,,,,,,,,,,
Bit Field Description,,,reserved,,,,,,,,Center channel frequency for band 1 during band combining(VHA),,,,,,,,,,,,,,,,,,,,,,,
Unit [string],,,,,,,,,,,Hz,,,,,,,,,,,,,,,,,,,,,,,
Granularity,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,
Minimum Value,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Maximum Value,,,,,,,,,,,16777215,,,,,,,,,,,,,,,,,,,,,,,
Sign Type,,,unsigned,,,,,,,,unsigned,,,,,,,,,,,,,,,,,,,,,,,
Bit Field Width,,,8,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,
