Table Name,com_fw_config_lut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Description,Common Firmware configuration table.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single entry bitwidth,32*1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base type bit layout,,,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
Bit Field Name,,,RES,,,,,,,,,,,,,,,,,,,FW_TRACE_BUFFER_CONFIG,,,,,,,,FW_DEBUG_LEVEL,,,FW_ENV,
Bit Field Description,,,reserved,,,,,,,,,,,,,,,,,,,Trace buffer control-Value in BitMask,,,,,,,,Firmware debug log level,,,Firmware Execution environment.   0=HW  1=RTL Sim  2=VP,
Unit [string],,,bits,,,,,,,,,,,,,,,,,,,value,,,,,,,,value,,,value,
Granularity,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,
Minimum Value,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,0,
Maximum Value,,,1,,,,,,,,,,,,,,,,,,,255,,,,,,,,4,,,2,
Sign Type,,,unsigned,,,,,,,,,,,,,,,,,,,unsigned,,,,,,,,unsigned,,,unsigned,
Bit Field Width,,,19,,,,,,,,,,,,,,,,,,,8,,,,,,,,3,,,2,
subtable dimision and name,1*1,,com_fw_config_lut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,1,,,1,
