Table Name,com_trax_addr_config_lut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Description,Common Firmware configuration table.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single entry bitwidth,32*2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base type bit layout,,,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
Bit Field Name,,,TRAX_TRIGGER_PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bit Field Description,,,Address to stop trax recording stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit [string],,,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Granularity,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Value,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum Value,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sign Type,,,unsigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bit Field Width,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bit Field Name,,,RES,,,,,,,,,,,,,,,,,,,,,,,,,TRAX_CTRL_PCMEN,TRAX_STOP_PCMS,TRAX_STOP_PCML,,,,
Bit Field Description,,,reserved,,,,,,,,,,,,,,,,,,,,,,,,,Enable TRIGGERPC register,"Out of range, Range specified in TRIGGERPC",Ignore these many lower bits of TRIGGERPC,,,,
Unit [string],,,bits,,,,,,,,,,,,,,,,,,,,,,,,,value,value,value,,,,
Granularity,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,
Minimum Value,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,
Maximum Value,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,
Sign Type,,,unsigned,,,,,,,,,,,,,,,,,,,,,,,,,unsigned,unsigned,unsigned,,,,
Bit Field Width,,,25,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,,,,
subtable dimision and name,1*1,,com_trax_addr_config_lut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,65536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,
